S.N.,Symbol,Company,Ratio,Units,Price,Opening Date,Closing Date,Book Closure Date,Listing Date,Issue Manager,Status,View,Eligibility Check
265,SRBL,Sunrise Bank Limited,10:1,"2,236,650.00",100.00,2015-03-05,2015-04-08,2015-02-18,,Civil Capital Market Ltd.,Closed,,
266,NIL,Neco Insurance Limited,10:8.488,"1,147,784.00",100.00,2015-02-25,2015-03-31,2015-02-15,2015-07-12,Civil Capital Market Ltd.,Closed,,
267,GBBL,Garima Bikas Bank Limited,4:1,"1,122,000.00",100.00,2015-02-26,2015-04-01,2015-02-12,2015-06-21,Ace Capital Ltd.,Closed,,
268,FMDBL,First Microfinance Laghubitta Bittiya Sanstha Limited,1:1,"1,000,000.00",100.00,2015-02-26,2015-04-01,2015-02-12,,Nabil Investment Banking Ltd.,Closed,,
269,MSBBL,Manaslu Bikas Bank Limited,4:1,"300,000.00",100.00,2015-01-17,2015-02-21,2015-01-02,,Growmore Merchant Banking Ltd.,Closed,,
270,SBBLJ,Sahayogi Vikas Bank Limited,10:1.5,"214,326.00",100.00,2014-01-18,2015-02-21,2014-12-24,,NCM Merchant Banking Ltd.,Closed,,
271,HAMRO,Hamro Bikas Bank Limited,10:7,"420,700.00",100.00,2014-12-16,2015-01-19,2014-11-28,,Growmore Merchant Banking Ltd.,Closed,,
272,MNBBL,Muktinath Bikas Bank Limited,4:1,"918,750.00",100.00,2014-11-30,2015-01-03,2014-11-14,,Growmore Merchant Banking Ltd.,Closed,,
273,SEWA,Sewa Bikas Bank Limited,5:1,"515,200.00",100.00,2014-11-29,2015-01-03,2014-11-13,2015-05-28,NMB Capital Ltd.,Closed,,
274,CDBL,City Development Bank Limited,10:3,"924,000.00",100.00,2014-10-21,2014-11-24,2014-10-09,,Nabil Investment Banking Ltd.,Closed,,
275,TNBL,Tinau Development Bank Limited,4:1,"322,000.00",100.00,2014-08-14,2014-09-17,2014-07-30,,Citizen Investment Trust,Closed,,
276,CIVIC,Civic Development Bank Limited,4:1,"100,000.00",100.00,2014-08-11,2014-09-14,2014-07-21,,Growmore Merchant Banking Ltd.,Closed,,
277,INDB,Innovative Development Bank Limited,4:1,"262,500.00",100.00,2014-08-12,2014-09-15,2014-07-30,,NMB Capital Ltd.,Closed,,
278,AIC,Alliance Insurance Company Limited,10:55,"892,692.00",100.00,2014-07-02,2014-08-05,2014-06-22,,NMB Capital Ltd.,Closed,,
